id,type,slug,display_name,ssa_site_code,ssa_office_name,region,ssa_last_updated,address1,address2,city,state,zipcode,tel_public,tel_call_back,fax,modified
283,2,salisbury-nc-fo,Salisbury NC FO,321,SALISBURY NC,NULL,10/1/2020,1840 Jake Alexndr Bl W,,Salisbury,NC,28147,18774053157,NULL,NULL,2020-12-19 16:07:55.629+00
284,2,raleigh-nc-fo,Raleigh NC FO,322,RALEIGH NC,NULL,10/1/2020,4701 Old Wake Forest Rd,,Raleigh,NC,27609,18778036311,NULL,NULL,2020-12-19 16:07:54.951+00
285,2,asheville-nc-fo,Asheville NC FO,323,ASHEVILLE NC,NULL,10/1/2020,800 Centre Park Drive,,Asheville,NC,28805,18665728361,NULL,NULL,2020-12-19 16:07:37.495+00
286,2,winston-salem-nc-fo,Winston Salem NC FO,324,WINSTON SALEM NC,NULL,10/1/2020,1370 Lockland Ave,,Winston Salem,NC,27103,18774020828,NULL,NULL,2020-12-19 16:07:58.299+00
287,2,greensboro-nc-fo,Greensboro NC FO,325,GREENSBORO NC,NULL,10/1/2020,6005 Landmark Ctr Blvd,,Greensboro,NC,27407,18773193075,NULL,NULL,2020-12-19 16:07:44.071+00
288,2,rocky-mount-nc-fo,Rocky Mount NC FO,326,ROCKY MOUNT NC,NULL,10/1/2020,1071 Hunter Hill Rd,,Rocky Mount,NC,27804,18669640784,NULL,NULL,2020-12-19 16:07:55.413+00
289,2,wilmington-nc-fo,Wilmington NC FO,327,WILMINGTON NC,NULL,10/1/2020,1528 S 16Th St,,Wilmington,NC,28401,18669646227,NULL,NULL,2020-12-19 16:07:58.245+00
290,2,durham-nc-fo,Durham NC FO,328,DURHAM NC,NULL,10/1/2020,3511 Shannon Rd,Suite 200,Durham,NC,27707,18887593908,NULL,NULL,2020-12-19 16:07:41.797+00
291,2,goldsboro-nc-fo,Goldsboro NC FO,329,GOLDSBORO NC,NULL,10/1/2020,915 W New Hope Road,,Goldsboro,NC,27534,18669647372,NULL,NULL,2020-12-19 16:07:43.838+00
292,2,fayetteville-nc-fo,Fayetteville NC FO,330,FAYETTEVILLE NC,NULL,10/1/2020,145 Rowan St,,Fayetteville,NC,28301,18669646485,NULL,NULL,2020-12-19 16:07:42.919+00
293,2,hickory-nc-fo,Hickory NC FO,331,HICKORY NC,NULL,10/1/2020,1501 Us Highway 321 Nw,,Hickory,NC,28601,18888771615,NULL,NULL,2020-12-19 16:07:45.227+00
294,2,gastonia-nc-fo,Gastonia NC FO,332,GASTONIA NC,NULL,10/1/2020,609 Cotton Blossom Cir,,Gastonia,NC,28054,18663312193,NULL,NULL,2020-12-19 16:07:43.724+00
295,2,new-bern-nc-fo,New Bern NC FO,334,NEW BERN NC,NULL,10/1/2020,1420 Mccarthy Blvd,,New Bern,NC,28562,18884911885,NULL,NULL,2020-12-19 16:07:50.481+00
296,2,greenville-nc-fo,Greenville NC FO,335,GREENVILLE NC,NULL,10/1/2020,2805 Charles Blvd,,Greenville,NC,27858,18664944001,NULL,NULL,2020-12-19 16:07:44.136+00
297,2,elizabeth-city-nc-fo,Elizabeth City NC FO,336,ELIZABETH CITY NC,NULL,10/1/2020,1865 W City Dr,,Elizabeth City,NC,27909,18665722819,NULL,NULL,2020-12-19 16:07:42.329+00
298,2,lumberton-nc-fo,Lumberton NC FO,338,LUMBERTON NC,NULL,10/1/2020,4430 Kahn Dr,,Lumberton,NC,28358,18669317099,NULL,NULL,2020-12-19 16:07:48.633+00
299,2,wilkesboro-nc-fo,Wilkesboro NC FO,339,WILKESBORO NC,NULL,10/1/2020,1517 River St,,Wilkesboro,NC,28697,18663312298,NULL,NULL,2020-12-19 16:07:58.201+00
300,2,roanoke-rapids-nc-fo,Roanoke Rapids NC FO,340,ROANOKE RAPIDS NC,NULL,10/1/2020,833 Gregory Drive,,Roanoke Rapids,NC,27870,18662692010,NULL,NULL,2020-12-19 16:07:55.253+00
301,2,statesville-nc-fo,Statesville NC FO,341,STATESVILLE NC,NULL,10/1/2020,2038 Davie Ave,,Statesville,NC,28625,18557223497,NULL,NULL,2020-12-19 16:07:56.988+00
302,2,rockingham-nc-fo,Rockingham NC FO,342,ROCKINGHAM NC,NULL,10/1/2020,220 E Greene St,,Rockingham,NC,28379,18774057673,NULL,NULL,2020-12-19 16:07:55.386+00
303,2,kinston-nc-fo,Kinston NC FO,343,KINSTON NC,NULL,10/1/2020,2559 N Queen Street,,Kinston,NC,28501,18665935671,NULL,NULL,2020-12-19 16:07:47.025+00
304,2,concord-nc-fo,Concord NC FO,344,CONCORD NC,NULL,10/1/2020,830 Florence St Nw,,Concord,NC,28027,18883666149,NULL,NULL,2020-12-19 16:07:40.647+00
305,2,detroit-d/t-mi-fo,Detroit-D/T MI FO,345,DETROIT-D/T MI,NULL,10/1/2020,477 Michigan Ave,Mcnamara Bldg/Rm 450,Detroit,MI,48226,18887487691,NULL,NULL,2020-12-19 16:07:41.597+00
306,2,marquette-mi-fo,Marquette MI FO,346,MARQUETTE MI,NULL,10/1/2020,300 S Front St,"1St Floor, Ste 1",Marquette,MI,49855,18557829154,NULL,NULL,2020-12-19 16:07:49.103+00
307,2,grand-rapids-mi-fo,Grand Rapids MI FO,347,GRAND RAPIDS MI,NULL,10/1/2020,3045 Knapp St Ne,,Grand Rapids,MI,49525,18773195710,NULL,NULL,2020-12-19 16:07:43.908+00
308,2,saginaw-mi-fo,Saginaw MI FO,348,SAGINAW MI,NULL,10/1/2020,611 E. Genesee Ave.,,Saginaw,MI,48607,18774055868,NULL,NULL,2020-12-19 16:07:55.567+00
309,2,flint-downtown-fo,Flint-Downtown FO,349,FLINT-DOWNTOWN,NULL,10/1/2020,1149 Robert T Longway,,Flint,MI,48503,18883187282,NULL,NULL,2020-12-19 16:07:43.017+00
310,2,pontiac-mi-fo,Pontiac MI FO,350,PONTIAC MI,NULL,10/1/2020,1280 Pontiac Rd,,Pontiac,MI,48340,18662993777,NULL,NULL,2020-12-19 16:07:54.188+00
311,2,jackson-mi-fo,Jackson MI FO,351,JACKSON MI,NULL,10/1/2020,234 W Louis Glick Hwy,Ste 200,Jackson,MI,49201,18774050473,NULL,NULL,2020-12-19 16:07:46.166+00
312,2,traverse-city-mi-fo,Traverse City MI FO,352,TRAVERSE CITY MI,NULL,10/1/2020,1329 S Division St,,Traverse City,MI,49684,18667394802,NULL,NULL,2020-12-19 16:07:57.408+00
313,2,kalamazoo-mi-fo,Kalamazoo MI FO,353,KALAMAZOO MI,NULL,10/1/2020,317 South Drake Road,,Kalamazoo,MI,49009,18663319088,NULL,NULL,2020-12-19 16:07:46.55+00
314,2,lansing-mi-fo,Lansing MI FO,354,LANSING MI,NULL,10/1/2020,5210 Perry Robinson,,Lansing,MI,48911,18775125944,NULL,NULL,2020-12-19 16:07:47.459+00
315,2,escanaba-mi-fo,Escanaba MI FO,355,ESCANABA MI,NULL,10/1/2020,1013 1St Ave North,,Escanaba,MI,49829,18775455503,NULL,NULL,2020-12-19 16:07:42.552+00
316,2,bay-city-mi-fo,Bay City MI FO,356,BAY CITY MI,NULL,10/1/2020,1115 Washington Ave,,Bay City,MI,48708,18663664924,NULL,NULL,2020-12-19 16:07:37.963+00
317,2,detroit-east-mi-fo,Detroit-East MI FO,357,DETROIT-EAST MI,NULL,10/1/2020,19251 Mack Ave,Suite 200,Detroit,MI,48236,18778450540,NULL,NULL,2020-12-19 16:07:41.606+00
318,2,detroit-high-pk-fo,Detroit-High PK MI FO,358,DETROIT-HIGH PK,NULL,10/1/2020,60 East Grand Avenue,,Highland Park,MI,48203,18775125945,NULL,NULL,2020-12-19 16:07:41.616+00
319,2,battle-creek-mi-fo,Battle Creek MI FO,359,BATTLE CREEK MI,NULL,10/1/2020,5700 Beckley Rd,Ste D1,Battle Creek,MI,49015,18774450829,NULL,NULL,2020-12-19 16:07:37.954+00
320,2,muskegon-mi-fo,Muskegon MI FO,360,MUSKEGON MI,NULL,10/1/2020,340 Morris Avenue,,Muskegon,MI,49440,18667632632,NULL,NULL,2020-12-19 16:07:50.346+00
321,2,dearborn-fo,Dearborn MI FO,361,DEARBORN,NULL,10/1/2020,19853 Outer Drive,Suite 200,Dearborn,MI,48124,18777140392,NULL,NULL,2020-12-19 16:07:41.366+00
322,2,fort-gratiot-fo,Fort Gratiot MI FO,362,FORT GRATIOT,NULL,10/1/2020,2620 Krafft Rd,,Fort Gratiot,MI,48059,18778950042,NULL,NULL,2020-12-19 16:07:43.222+00
323,2,detroit-nw-mi-fo,Detroit-NW MI FO,363,DETROIT-NW MI,NULL,10/1/2020,26840 W Seven Mile Rd,,Redford,MI,48240,18883295729,NULL,NULL,2020-12-19 16:07:41.638+00
324,2,roseville-mi-fo,Roseville MI FO,364,ROSEVILLE MI,NULL,10/1/2020,15250 E 12 Mile Rd,,Roseville,MI,48066,18778332541,NULL,NULL,2020-12-19 16:07:55.461+00
325,2,bent-har-st-joe-fo,Bent Har-St Joe MI FO,365,BENT HAR-ST JOE,NULL,10/1/2020,455 Bond St,,Benton Harbor,MI,49022,18774055457,NULL,NULL,2020-12-19 16:07:38.095+00
326,2,ann-arbor-mi-fo,Ann Arbor MI FO,366,ANN ARBOR MI,NULL,10/1/2020,3971 Research Park Dr,Suite A,Ann Arbor,MI,48108,18774020825,NULL,NULL,2020-12-19 16:07:37.398+00
327,2,mount-pleasant-fo,Mount Pleasant FO,367,MOUNT PLEASANT,NULL,10/1/2020,1940 Sweeney St,,Mt Pleasant,MI,48858,18774057667,NULL,NULL,2020-12-19 16:07:50.244+00
328,2,petoskey-mi-fo,Petoskey MI FO,368,PETOSKEY MI,NULL,10/1/2020,308 State St,Suite 8,Petoskey,MI,49770,18665742588,NULL,NULL,2020-12-19 16:07:53.33+00
329,2,monroe-mi-fo,Monroe MI FO,369,MONROE MI,NULL,10/1/2020,1300 S Telegraph Rd,,Monroe,MI,48161,18772745416,NULL,NULL,2020-12-19 16:07:50.088+00
330,2,alpena-mi-fo,Alpena MI FO,370,ALPENA MI,NULL,10/1/2020,111 N 4Th Ave,,Alpena,MI,49707,18774524195,NULL,NULL,2020-12-19 16:07:37.229+00
331,2,grand-river-mi-fo,Grand River MI FO,372,GRAND RIVER MI,NULL,10/1/2020,9222 Grand River Ave,,Detroit,MI,48204,18664050043,NULL,NULL,2020-12-19 16:07:43.94+00
332,2,detroit-7-mile-wyoming-fo,Detroit 7 Mile Wyoming MI FO,373,DETROIT 7 Mile Wyoming MI FO,NULL,10/1/2020,10201 W Seven Mile Rd,,Detroit,MI,48221,18663656741,NULL,NULL,2020-12-19 16:07:41.587+00
333,2,det-conner-fo,Detroit Conner MI FO,374,DET CONNER,NULL,10/1/2020,3400 Conner St,,Detroit,MI,48215,18774057824,NULL,NULL,2020-12-19 16:07:41.571+00
334,2,clawson-mi-fo,Clawson MI FO,375,CLAWSON MI,NULL,10/1/2020,140 North Crooks,,Clawson,MI,48017,18884569559,NULL,NULL,2020-12-19 16:07:39.711+00
335,2,toledo-west-oh-fo,Toledo-West OH FO,376,TOLEDO-WEST OH,NULL,10/1/2020,4906 Monroe St,Suite A,Toledo,OH,43623,18772745429,NULL,NULL,2020-12-19 16:07:57.318+00
336,2,painesville-oh-fo,Painesville OH FO,378,PAINESVILLE OH,NULL,10/1/2020,55 W Jackson St,,Painesville,OH,44077,18776923143,NULL,NULL,2020-12-19 16:07:52.677+00
337,2,san-patricio-pr-fo,San Patricio PR FO,380,SAN PATRICIO PR,NULL,10/1/2020,"F5 Ebano St, 2Nd Fl",Ebano Office Center,Guaynabo,PR,968,18667830627,NULL,NULL,2020-12-19 16:07:55.904+00
338,2,richmond-ca-fo,Richmond CA FO,383,RICHMOND CA,NULL,10/1/2020,3164 Garrity Way,,Richmond,CA,94806,18778773116,NULL,NULL,2020-12-19 16:07:55.095+00
339,2,el-monte-ca-fo,El Monte CA FO,384,EL MONTE CA,NULL,10/1/2020,9351 Telstar Ave.,,El Monte,CA,91731,18669310340,NULL,NULL,2020-12-19 16:07:42.268+00
340,2,san-jose-east-ca-fo,San Jose East CA FO,385,SAN JOSE EAST CA,NULL,10/1/2020,2500 Fontaine Rd,,San Jose,CA,95121,18669314496,NULL,NULL,2020-12-19 16:07:55.819+00
341,2,west-fresno-ca-fo,West Fresno CA FO,386,WEST FRESNO CA,NULL,10/1/2020,865 Fulton Street,,Fresno,CA,93721,18773112640,NULL,NULL,2020-12-19 16:07:58.058+00
342,2,cincinnati-dt-fo,Cincinnati-D/T OH FO,387,CINCINNATI-D/T,NULL,10/1/2020,550 Main St,Room 2-960,Cincinnati,OH,45202,18665931519,NULL,NULL,2020-12-19 16:07:39.615+00
343,2,cleveland-dt-oh-fo,Cleveland D/T OH FO,388,CLEVELAND DT OH,NULL,10/1/2020,1240 E 9Th St,Rm 793 Ajc Fed Bldg,Cleveland,OH,44199,18773789078,NULL,NULL,2020-12-19 16:07:39.89+00
344,2,columbus-dt-oh-fo,Columbus D/T OH FO,389,COLUMBUS OH-DT,NULL,10/1/2020,200 North High Street,Room 225  Fed Bldg,Columbus,OH,43215,18669641723,NULL,NULL,2020-12-19 16:07:40.483+00
345,2,akron-oh-fo,Akron OH FO,390,AKRON OH,NULL,10/1/2020,2 S Main St,2Nd Floor,Akron,OH,44308,18776002858,NULL,NULL,2020-12-19 16:07:36.942+00
346,2,lorain-oh-fo,Lorain OH FO,391,LORAIN OH,NULL,10/1/2020,221 W 5Th St,,Lorain,OH,44052,18665307818,NULL,NULL,2020-12-19 16:07:48.372+00
347,2,ashtabula-oh-fo,Ashtabula OH FO,392,ASHTABULA OH,NULL,10/1/2020,4815 State Rd,,Ashtabula,OH,44004,18772236059,NULL,NULL,2020-12-19 16:07:37.516+00
348,2,mansfield-oh-fo,Mansfield OH FO,393,MANSFIELD OH,NULL,10/1/2020,1287 South Trimble Rd,,Mansfield,OH,44907,18884911882,NULL,NULL,2020-12-19 16:07:49.003+00
349,2,lima-oh-fo,Lima OH FO,394,LIMA OH,NULL,10/1/2020,401 West North St,"Federal Bldg, Ste 101",Lima,OH,45801,18002230288,NULL,NULL,2020-12-19 16:07:47.993+00
350,2,toledo-dt-oh-fo,Toledo D/T OH FO,395,TOLEDO OH DT,NULL,10/1/2020,433 N Summit St,Suite 1000,Toledo,OH,43604,18663312196,NULL,NULL,2020-12-19 16:07:57.297+00
351,2,zanesville-oh-fo,Zanesville OH FO,396,ZANESVILLE OH,NULL,10/1/2020,3823 James Court,,Zanesville,OH,43701,18558843408,NULL,NULL,2020-12-19 16:07:58.499+00
352,2,youngstown-oh-fo,Youngstown OH FO,397,YOUNGSTOWN OH,NULL,10/1/2020,354 E Federal St,,Youngstown,OH,44503,18777140393,NULL,NULL,2020-12-19 16:07:58.461+00
353,2,springfield-oh-fo,Springfield OH FO,398,SPRINGFIELD OH,NULL,10/1/2020,1610 N Limestone St,,Springfield,OH,45503,18774051451,NULL,NULL,2020-12-19 16:07:56.712+00
354,2,hamilton-oh-fo,Hamilton OH FO,399,HAMILTON OH,NULL,10/1/2020,6553 Winford Avenue,,Hamilton,OH,45011,18888623585,NULL,NULL,2020-12-19 16:07:44.306+00
355,2,canton-oh-fo,Canton OH FO,400,CANTON OH,NULL,10/1/2020,301 Mckinley Ave Sw,Suite 100,Canton,OH,44702,18772551509,NULL,NULL,2020-12-19 16:07:39.016+00
356,2,portsmouth-oh-fo,Portsmouth OH FO,401,PORTSMOUTH OH,NULL,10/1/2020,921 Fourth Street,,Portsmouth,OH,45662,18666133961,NULL,NULL,2020-12-19 16:07:54.574+00
357,2,dayton-oh-fo,Dayton OH FO,402,DAYTON OH,NULL,10/1/2020,200 W 2Nd Street,Federal Bldg,Dayton,OH,45402,18883295724,NULL,NULL,2020-12-19 16:07:41.281+00
358,2,warren-oh-fo,Warren OH FO,403,WARREN OH,NULL,10/1/2020,258 E Market Street,1St Floor,Warren,OH,44481,18669647339,NULL,NULL,2020-12-19 16:07:57.823+00
359,2,marion-oh-fo,Marion OH FO,404,MARION OH,NULL,10/1/2020,1363 Wellness Dr,,Marion,OH,43302,18884750296,NULL,NULL,2020-12-19 16:07:49.094+00
360,2,athens-oh-fo,Athens OH FO,405,ATHENS OH,NULL,10/1/2020,743A East State Street,,Athens,OH,45701,18778407683,NULL,NULL,2020-12-19 16:07:37.535+00
361,2,cleveland-east-oh-fo,Cleveland East OH FO,406,CLEVELAND EAST OH,NULL,10/1/2020,3591 Park East Dr,,Beachwood,OH,44122,18774020823,NULL,NULL,2020-12-19 16:07:39.916+00
362,2,cleveland-west-oh-fo,Cleveland West OH FO,407,CLEVELAND WEST OH,NULL,10/1/2020,17513 Detroit Ave,,Lakewood,OH,44107,18669644389,NULL,NULL,2020-12-19 16:07:40.033+00
363,2,steubenville-oh-fo,Steubenville OH FO,408,STEUBENVILLE OH,NULL,10/1/2020,100 Mall Drive,Unit E5,Steubenville,OH,43952,18662536889,NULL,NULL,2020-12-19 16:07:57.022+00
364,2,sandusky-oh-fo,Sandusky OH FO,409,SANDUSKY OH,NULL,10/1/2020,252 Wayne Street,,Sandusky,OH,44870,18665887397,NULL,NULL,2020-12-19 16:07:55.937+00
365,2,chillicothe-oh-fo,Chillicothe OH FO,410,CHILLICOTHE OH,NULL,10/1/2020,44 Stoneridge Drive,,Chillicothe,OH,45601,18774526971,NULL,NULL,2020-12-19 16:07:39.598+00
366,2,cincinnati-north-fo,Cincinnati NORTH FO,411,CINCINNATI NORTH,NULL,10/1/2020,10205 Reading Rd,,Cincinnati,OH,45241,18778332704,NULL,NULL,2020-12-19 16:07:39.625+00
367,2,defiance-oh-fo,Defiance OH FO,412,DEFIANCE OH,NULL,10/1/2020,273 Stadium Dr,,Defiance,OH,43512,18776002860,NULL,NULL,2020-12-19 16:07:41.427+00
368,2,findlay-oh-fo,Findlay OH FO,413,FINDLAY OH,NULL,10/1/2020,1720 E Melrose Ave,,Findlay,OH,45840,18776286548,NULL,NULL,2020-12-19 16:07:42.953+00
369,2,marietta-oh-fo,Marietta OH FO,414,MARIETTA OH,NULL,10/1/2020,1301 Greene Street,,Marietta,OH,45750,18554335872,NULL,NULL,2020-12-19 16:07:49.042+00
370,2,newark-oh-fo,Newark OH FO,415,NEWARK OH,NULL,10/1/2020,125 Derby Downs Rd,,Newark,OH,43055,18667373514,NULL,NULL,2020-12-19 16:07:50.668+00
371,2,new-philadelphia-oh-fo,New Philadelphia OH FO,416,NEW PHILADELPHIA OH,NULL,10/1/2020,1260 Monroe St Nw,Suite 1C,New Philadelphia,OH,44663,18667314236,NULL,NULL,2020-12-19 16:07:50.585+00
372,2,east-liverpool-oh-fo,East Liverpool OH FO,417,EAST LIVERPOOL OH,NULL,10/1/2020,120 East Fourth Street,,East Liverpool,OH,43920,18552699178,NULL,NULL,2020-12-19 16:07:41.929+00
373,2,piqua-oh-fo,Piqua OH FO,418,PIQUA OH,NULL,10/1/2020,277 S Looney Rd,,Piqua,OH,45356,18669312520,NULL,NULL,2020-12-19 16:07:53.907+00
374,2,lancaster-oh-fo,Lancaster OH FO,419,LANCASTER OH,NULL,10/1/2020,252 Venture Place,,Lancaster,OH,43130,18778415712,NULL,NULL,2020-12-19 16:07:47.379+00
375,2,wooster-oh-fo,Wooster OH FO,420,WOOSTER OH,NULL,10/1/2020,2345 Gateway Dr Ste B,,Wooster,OH,44691,18773190729,NULL,NULL,2020-12-19 16:07:58.368+00
376,2,ironton-oh-fo,Ironton OH FO,421,IRONTON OH,NULL,10/1/2020,611 Vernon Street,,Ironton,OH,45638,18667891073,NULL,NULL,2020-12-19 16:07:45.97+00
377,2,akron-west-oh-fo,Akron-West OH FO,422,AKRON-WEST OH,NULL,10/1/2020,2166 Romig Rd,,Akron,OH,44320,18668375359,NULL,NULL,2020-12-19 16:07:36.962+00
378,2,cleveland-ne-oh-fo,Cleveland NE OH FO,423,CLEVELAND NE OH,NULL,10/1/2020,15250 S. Waterloo Rd,,Cleveland,OH,44110,18665921802,NULL,NULL,2020-12-19 16:07:39.947+00
379,2,cleveland-se-oh-fo,Cleveland SE OH FO,424,CLEVELAND SE OH,NULL,10/1/2020,18711 Miles Ave,,Warrensville Hts,OH,44128,18774050474,NULL,NULL,2020-12-19 16:07:39.999+00
380,2,dayton-west-oh-fo,Dayton-WEST OH FO,426,DAYTON-WEST OH,NULL,10/1/2020,4375 Hoover Ave,,Dayton,OH,45417,18778950038,NULL,NULL,2020-12-19 16:07:41.317+00
381,2,cleve-buckeye-shaker-oh-fo,Cleve Buckeye Shaker OH FO,427,CLEVE BUCKEYE SHAKER,NULL,10/1/2020,11601 Shaker Blvd,,Cleveland,OH,44120,18776353546,NULL,NULL,2020-12-19 16:07:39.822+00
382,2,maysville-ky-fo,Maysville KY FO,428,MAYSVILLE KY,NULL,10/1/2020,509 Marketplace Dr,,Maysville,KY,41056,18558078802,NULL,NULL,2020-12-19 16:07:49.255+00
383,2,cleveland-nw-oh-fo,Cleveland NW OH FO,431,CLEVELAND NW OH,NULL,10/1/2020,7517 Lorain Ave,,Cleveland,OH,44102,18778763172,NULL,NULL,2020-12-19 16:07:39.958+00
384,2,cleveland-sw-oh-fo,Cleveland SW OH FO,432,CLEVELAND SW OH,NULL,10/1/2020,7344 Pearl Rd,Suite 101,Middleburg Hts,OH,44130,18669319176,NULL,NULL,2020-12-19 16:07:40.01+00
385,2,compton-ca-fo,Compton CA FO,434,COMPTON CA,NULL,10/1/2020,171 E Compton Blvd,,Compton,CA,90220,18884726122,NULL,NULL,2020-12-19 16:07:40.638+00
386,2,national-city-ca-fo,National City CA FO,435,NATIONAL CITY CA,NULL,10/1/2020,"700 E 24Th St, Ste A",Ground Floor,National City,CA,91950,18663312203,NULL,NULL,2020-12-19 16:07:50.436+00
387,2,chula-vista-ca-fo,Chula Vista CA FO,436,CHULA VISTA CA,NULL,10/1/2020,626 L Street,Suite 1,Chula Vista,CA,91911,18884879907,NULL,NULL,2020-12-19 16:07:39.605+00
388,2,louisville-ky-fo,Louisville KY FO,437,LOUISVILLE KY,NULL,10/1/2020,601 W Broadway,Room 101,Louisville,KY,40202,18667169671,NULL,NULL,2020-12-19 16:07:48.487+00
389,2,ashland-ky-fo,Ashland KY FO,438,ASHLAND KY,NULL,10/1/2020,1405 Greenup Avenue,Room 132,Ashland,KY,41101,18662693993,NULL,NULL,2020-12-19 16:07:37.505+00
390,2,lexington-ky-fo,Lexington KY FO,439,LEXINGTON KY,NULL,10/1/2020,2241 Buena Vista Rd.,Suite 110,Lexington,KY,40505,18665307754,NULL,NULL,2020-12-19 16:07:47.964+00
391,2,paducah-ky-fo,Paducah KY FO,440,PADUCAH KY,NULL,10/1/2020,125 Brett Chase,,Paducah,KY,42003,18666147905,NULL,NULL,2020-12-19 16:07:52.402+00
392,2,frankfort-ky-fo,Frankfort KY FO,441,FRANKFORT KY,NULL,10/1/2020,140 Flynn Ave,,Frankfort,KY,40601,18669641724,NULL,NULL,2020-12-19 16:07:43.375+00
393,2,florence-ky-fo,Florence KY FO,442,FLORENCE KY,NULL,10/1/2020,7 Youell Street,,Florence,KY,41042,18665044224,NULL,NULL,2020-12-19 16:07:43.109+00
394,2,bowling-green-ky-fo,Bowling Green KY FO,443,BOWLING GREEN KY,NULL,10/1/2020,2724 Chandler Drive,,Bowling Green,KY,42104,18778010817,NULL,NULL,2020-12-19 16:07:38.454+00
395,2,owensboro-ky-fo,Owensboro KY FO,444,OWENSBORO KY,NULL,10/1/2020,4532 Lucky Strike Loop,,Owensboro,KY,42303,18668365834,NULL,NULL,2020-12-19 16:07:52.272+00
396,2,corbin-ky-fo,Corbin KY FO,445,CORBIN KY,NULL,10/1/2020,159 Future Dr,,Corbin,KY,40701,18774050470,NULL,NULL,2020-12-19 16:07:40.728+00
397,2,hazard-ky-fo,Hazard KY FO,446,HAZARD KY,NULL,10/1/2020,122 Reynolds Lane,,Hazard,KY,41701,18774050491,NULL,NULL,2020-12-19 16:07:44.728+00
398,2,hopkinsville-ky-fo,Hopkinsville KY FO,447,HOPKINSVILLE KY,NULL,10/1/2020,1650 Marie Drive,,Hopkinsville,KY,42240,18774057656,NULL,NULL,2020-12-19 16:07:45.505+00
399,2,pikeville-ky-fo,Pikeville KY FO,448,PIKEVILLE KY,NULL,10/1/2020,333 Hambley Blvd,,Pikeville,KY,41501,18886762942,NULL,NULL,2020-12-19 16:07:53.759+00
400,2,elizabethtown-ky-fo,Elizabethtown KY FO,449,ELIZABETHTOWN KY,NULL,10/1/2020,591 Westport Road,,Elizabethtown,KY,42701,18665967123,NULL,NULL,2020-12-19 16:07:42.372+00
401,2,campbellsville-ky-fo,Campbellsville KY FO,450,CAMPBELLSVILLE KY,NULL,10/1/2020,101 Hiestand Farm Rd,,Campbellsville,KY,42718,18778281695,NULL,NULL,2020-12-19 16:07:38.978+00
402,2,middlesboro-ky-fo,Middlesboro KY FO,451,MIDDLESBORO KY,NULL,10/1/2020,10 Tech Park Drive,,Middlesboro,KY,40965,18776192853,NULL,NULL,2020-12-19 16:07:49.802+00
403,2,danville-ky-fo,Danville KY FO,452,DANVILLE KY,NULL,10/1/2020,103 Belinda Blvd,,Danville,KY,40422,18775123850,NULL,NULL,2020-12-19 16:07:41.249+00
404,2,madisonville-ky-fo,Madisonville KY FO,453,MADISONVILLE KY,NULL,10/1/2020,4431 Hanson Rd,,Madisonville,KY,42431,18776269912,NULL,NULL,2020-12-19 16:07:48.797+00
405,2,somerset-ky-fo,Somerset KY FO,454,SOMERSET KY,NULL,10/1/2020,3975 S Highway 27,,Somerset,KY,42501,18777140375,NULL,NULL,2020-12-19 16:07:56.48+00
406,2,indianapolis-in-fo,Indianapolis IN FO,455,INDIANAPOLIS IN,NULL,10/1/2020,575 N Pennsylvania St,Rm 685,Indianapolis,IN,46204,18665922812,NULL,NULL,2020-12-19 16:07:45.76+00
407,2,south-bend-in-fo,South Bend IN FO,456,SOUTH BEND IN,NULL,10/1/2020,Street,602 South Michigan,South Bend,IN,46601,18772745415,NULL,NULL,2020-12-19 16:07:56.504+00
408,2,evansville-in-fo,Evansville IN FO,457,EVANSVILLE IN,NULL,10/1/2020,2300 N Green River Rd,,Evansville,IN,47715,18777685679,NULL,NULL,2020-12-19 16:07:42.687+00
409,2,terre-haute-in-fo,Terre Haute IN FO,458,TERRE HAUTE IN,NULL,10/1/2020,222 Cherry St,,Terre Haute,IN,47807,18666350282,NULL,NULL,2020-12-19 16:07:57.219+00
410,2,fort-wayne-in-fo,Fort Wayne IN FO,459,FORT WAYNE IN,NULL,10/1/2020,2122 Lincolnway Ct,,Fort Wayne,IN,46819,18772236061,NULL,NULL,2020-12-19 16:07:43.284+00
411,2,richmond-in-fo,Richmond IN FO,460,RICHMOND IN,NULL,10/1/2020,500 North A Street,,Richmond,IN,47374,18664466190,NULL,NULL,2020-12-19 16:07:55.155+00
412,2,lafayette-in-fo,Lafayette IN FO,461,LAFAYETTE IN,NULL,10/1/2020,10 S. 2Nd St,,Lafayette,IN,47901,18888840522,NULL,NULL,2020-12-19 16:07:47.246+00
413,2,kokomo-in-fo,Kokomo IN FO,462,KOKOMO IN,NULL,10/1/2020,353 W. Alto Rd,,Kokomo,IN,46902,18663653036,NULL,NULL,2020-12-19 16:07:47.147+00
414,2,muncie-in-fo,Muncie IN FO,463,MUNCIE IN,NULL,10/1/2020,600 North Walnut St,,Muncie,IN,47305,18669647586,NULL,NULL,2020-12-19 16:07:50.329+00
415,2,gary-in-fo,Gary IN FO,464,GARY IN,NULL,10/1/2020,808 South Lake Street,,Gary,IN,46403,18665932911,NULL,NULL,2020-12-19 16:07:43.715+00
416,2,new-albany-in-fo,New Albany IN FO,465,NEW ALBANY IN,NULL,10/1/2020,3700 Blackiston Blvd,,New Albany,IN,47150,18663319073,NULL,NULL,2020-12-19 16:07:50.463+00
